Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,,OWS,DWS,WS,WS/48
1946-47,30,CLR,BAA,NA,55,NA,NA,0.34,0.193,NA,NA,NA,NA,NA,3.3,0.9,4.2,NA
1947-48,31,BOS,BAA,NA,48,NA,NA,0.343,0.21,NA,NA,NA,NA,NA,1.9,0.3,2.2,NA
1948-49,32,TOT,BAA,NA,43,NA,NA,0.327,0.226,NA,NA,NA,NA,NA,-1.7,1.7,0,NA
1948-49,32,BOS,BAA,NA,33,NA,NA,0.328,0.232,NA,NA,NA,NA,NA,-1.4,1.7,0.3,NA
1948-49,32,PRO,BAA,NA,10,NA,NA,0.319,0.193,NA,NA,NA,NA,NA,-0.3,0,-0.3,NA
Career,NA,,BAA,NA,146,NA,NA,0.337,0.207,NA,NA,NA,NA,NA,3.5,3,6.5,NA
,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,BOS,BAA,NA,81,NA,NA,0.336,0.219,NA,NA,NA,NA,NA,0.5,2,2.5,NA
1 season,NA,CLR,BAA,NA,55,NA,NA,0.34,0.193,NA,NA,NA,NA,NA,3.3,0.9,4.2,NA
1 season,NA,PRO,BAA,NA,10,NA,NA,0.319,0.193,NA,NA,NA,NA,NA,-0.3,0,-0.3,NA
