,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,TRB,AST,PF,PTS
1954-55,25,FTW,NBA,,11,,8,9,,,6,22
1956-57,27,FTW,NBA,,3,,2,5,,,4,7
Career,,,,,11,,8,9,,,6,22
