Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Kyle Anderson,,6.2,3.5,2.7,2.7,0.3
Tom Boswell,91.0,5.6,3.7,2.7,2.4,0.2
JaMychal Green,90.9,5.8,2.9,2.6,2.6,0.4
Monk Meineke,90.3,6.1,3.7,2.6,1.8,0.7
Jim Baechtold,89.0,6,3.2,2.6,2.1,0.9
George Carter,88.5,6.4,4.2,2.9,2.2,0
Michael Kidd-Gilchrist,88.1,5.8,3.8,3.1,2.1,0.6
Robert Covington,87.8,6.1,4,3.1,2,0.1
Earl Lloyd,87.3,5.2,3.6,2.9,2.4,0.6
Joe Caldwell,86.9,6.7,3.7,3.3,2,0.3
Jason Maxiell,86.2,6.3,4.1,2.6,1.8,-0.2
