Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
David Nwaba,,2.4,1.4,0.8,NA,NA,NA
Maurice McHartley,88.8,2.4,1.8,0.8,NA,NA,NA
Courtney Alexander,87.2,2.2,1.1,0.8,NA,NA,NA
Kenny Higgs,86.9,2.2,1.5,1,NA,NA,NA
Johnny High,86.4,2.5,1.2,1.1,-0.1,NA,NA
Ralph Johnson,86.2,2.9,1.6,0.8,0,NA,NA
Bo Lamar,84.9,2.5,1.5,1,0.5,NA,NA
Kirk Snyder,83.1,2.2,1.4,1.1,-0.2,NA,NA
Chris Douglas-Roberts,82.3,2.4,1.6,0.7,0.6,0.1,0
Mike Holton,81.9,2.3,1.3,0.8,0.3,0.2,-0.2
Kevin O'Shea,81.2,2.1,1.2,0.5,NA,NA,NA
