,,,,,,,,,,,,,,,,,,,,,2-Pt Field Goals,2-Pt Field Goals,2-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals
,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,Dunks,Dunks,,Corner,Corner,Heaves,Heaves
Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3pt,3P,2P,0-3,3-10,10-16,16-3pt,3P,%Ast'd,%FGA,Md.,%Ast'd,%3PA,3P%,Att.,Md.
2003-04,28,HOU,NBA,SG,5,210,.387,13.3,.720,.267,.120,.093,.240,.280,.426,.700,.111,.143,.389,.286,.348,.027,2,.833,.286,.500,0,0
2004-05,29,SAC,NBA,SG,5,159,.443,16.5,.643,.129,.114,.157,.243,.357,.533,.556,.500,.273,.706,.280,.250,.000,0,.714,.240,.167,1,0
2005-06,30,LAC,NBA,SG,12,473,.427,14.7,.790,.203,.105,.175,.308,.210,.442,.517,.533,.440,.364,.367,.520,.028,3,1.000,.200,.333,1,0
Career,,,NBA,,22,842,.420,14.8,.736,.201,.111,.149,.274,.264,.458,.586,.406,.349,.443,.316,.412,.021,5,.875,.237,.333,2,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 season,,LAC,NBA,,12,473,.427,14.7,.790,.203,.105,.175,.308,.210,.442,.517,.533,.440,.364,.367,.520,.028,3,1.000,.200,.333,1,0
1 season,,HOU,NBA,,5,210,.387,13.3,.720,.267,.120,.093,.240,.280,.426,.700,.111,.143,.389,.286,.348,.027,2,.833,.286,.500,0,0
1 season,,SAC,NBA,,5,159,.443,16.5,.643,.129,.114,.157,.243,.357,.533,.556,.500,.273,.706,.280,.250,.000,0,.714,.240,.167,1,0
