Thru 8 Years,Thru 8 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Ron Mercer,,4,1.8,1.8,1.3,1.3,0.4,-0.1,-1.1
Moochie Norris,77.9,4.4,1.8,1.7,1.7,0.8,-0.1,-0.2,-0.4
Matthew Dellavedova,77.2,3.8,2.1,1.9,1.2,0.5,0.5,NA,NA
Keyon Dooling,76.5,3.7,2.1,1.5,1.4,1.1,0.3,0.3,0
Brandon Knight,75.8,4.5,2.8,1.7,1.3,1.1,0.3,0,NA
Eddie House,75.5,3.9,1.9,1.8,1.6,0.9,0.7,0.7,0.4
Kent Bazemore,75.1,4.1,2.2,2.1,1.6,0.7,0.2,0.1,NA
Ronald Murray,74.3,3.1,1.8,1.7,1.3,0.7,0.4,-0.3,-0.3
Gary Neal,73.9,3.5,2.5,1.9,1.4,1,0.6,-0.1,NA
George Dempsey,73.2,3.5,2.2,2.1,1.5,1.4,NA,NA,NA
Armond Hill,72.6,4.2,2.6,2.5,1,0.8,0.5,0,-0.4
