Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Paul Griffin,,4.9,4.4,4.1,2.9,1.6,1.4,0.4,NA,NA,NA
Luke Jackson,88.9,5.1,4.8,4.2,3.6,1.7,1.4,0.8,0.8,NA,NA
Bill Calhoun,88.1,4.5,4.1,3.9,2.2,2.1,1.4,0.4,NA,NA,NA
Kenny Walker,88.0,4.7,4,3.1,2.7,1.9,1.3,0.1,NA,NA,NA
Andray Blatche,87.3,4.9,3.7,3.4,3,2.4,1.4,0.5,0.1,-0.1,NA
Donald Royal,86.5,5.1,3.8,3.6,2.3,1.6,1.3,1,0.4,NA,NA
DeJuan Blair,85.8,4.8,4.6,4,3.4,2.2,0.1,-0.1,NA,NA,NA
Lionel Simmons,85.4,4.3,3.8,3.8,2.7,1.1,0.9,0.3,NA,NA,NA
Danny Fortson,84.8,4.5,4.4,4.3,3.5,2.3,1.9,1.1,0.2,0.2,0
Terrence Ross,84.6,4.3,4.2,3.6,3.5,2.4,0.9,0.3,NA,NA,NA
Wayne Hightower,83.8,5.8,4.2,4,2.9,2.2,0.7,0,0,-0.2,-0.8
