Thru 7 Years,Thru 7 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Paul Griffin,,4.9,4.4,4.1,2.9,1.6,1.4,0.4
Shandon Anderson,94.5,4.9,4.2,3.9,2.7,2,1.2,0.4
Eduardo Nájera,92.0,4.8,4,4,2.7,1.6,1.1,1.1
Luke Jackson,91.6,5.1,4.8,4.2,3.6,1.7,1.4,0.8
Charlie Villanueva,91.1,4.9,3.9,3.5,3.1,1.7,1.7,0.4
Nate Williams,90.3,4.5,4.3,4,2.8,2.5,1.9,0.4
Luc Mbah a Moute,89.9,4.8,4.7,4,2.4,1.1,1,0.5
Frank Brickowski,88.5,4.7,4.1,3.8,3.6,1.1,1,0.4
Ron Anderson,88.3,4.4,4.1,3.8,3.1,2.5,1.5,0.3
Bill Calhoun,88.1,4.5,4.1,3.9,2.2,2.1,1.4,0.4
Kenny Walker,88.0,4.7,4,3.1,2.7,1.9,1.3,0.1
