Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Vern Gardner,,5.9,1.6,-0.1,NA,NA,NA,NA,NA,NA
Dick Mehen,85.0,5.6,1.9,0.6,NA,NA,NA,NA,NA,NA
Wah Wah Jones,84.7,5.9,2.1,0.8,NA,NA,NA,NA,NA,NA
Irv Torgoff,82.6,5.4,1,0.1,NA,NA,NA,NA,NA,NA
Kevon Looney,69.9,6,2.8,1.4,0.1,NA,NA,NA,NA,NA
Don MacLean,68.0,5.6,1.5,1.1,0.5,0.4,0.2,0.2,0,-0.2
Donatas Motiejūnas,64.1,4.7,1.4,0.7,0.3,0.2,-0.1,NA,NA,NA
Bill Closs,63.1,4.4,2.8,0,NA,NA,NA,NA,NA,NA
Dario Šarić,61.4,6.6,3.5,1,NA,NA,NA,NA,NA,NA
Don May,61.2,6.1,2.9,1.3,0.5,0.3,0.2,0,NA,NA
Andy Johnson,60.9,4.6,1.8,1.3,0.3,NA,NA,NA,NA,NA
