,,,,,,,,,,,,,,,,,,,,,2-Pt Field Goals,2-Pt Field Goals,2-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals
,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,Dunks,Dunks,,Corner,Corner,Heaves,Heaves
Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3pt,3P,2P,0-3,3-10,10-16,16-3pt,3P,%Ast'd,%FGA,Md.,%Ast'd,%3PA,3P%,Att.,Md.
2013-14,19,MIL,NBA,SF,77,1897,.414,10.8,.718,.476,.098,.045,.098,.282,.440,.573,.171,.105,.220,.347,.621,.160,61,.707,.127,.067,1,0
2014-15,20,MIL,NBA,SG,81,2541,.491,7.6,.944,.506,.178,.067,.192,.056,.511,.646,.288,.423,.393,.159,.519,.129,95,.857,.159,.143,1,0
2015-16,21,MIL,NBA,PG,80,2823,.506,7.5,.892,.509,.180,.058,.143,.108,.537,.684,.346,.288,.359,.257,.485,.143,141,.821,.321,.343,4,0
2016-17,22,MIL,NBA,SF,80,2845,.521,8.7,.857,.496,.149,.064,.146,.143,.563,.709,.394,.338,.342,.272,.420,.164,194,.714,.111,.200,4,0
2017-18,23,MIL,NBA,PF,75,2756,.529,8.4,.900,.454,.173,.114,.160,.100,.554,.756,.355,.350,.339,.307,.429,.122,161,.907,.107,.333,1,0
2018-19,24,MIL,NBA,PF,72,2358,.578,7.7,.837,.573,.152,.051,.063,.163,.641,.769,.339,.381,.410,.256,.472,.246,279,.673,.044,.222,1,0
2019-20,25,MIL,NBA,PF,57,1763,.547,9.9,.762,.478,.161,.072,.051,.238,.622,.767,.344,.427,.414,.306,.433,.164,174,.590,.037,.500,0,0
Career,,,NBA,,522,16983,.525,8.5,.853,.500,.160,.071,.121,.147,.566,.720,.341,.355,.358,.285,.461,.163,1105,.713,.104,.270,12,0
