Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Giannis Antetokounmpo,,14.4,12.4,11.9,7.1,6.2,1.2,NA,NA,NA
Willie Wise,77.7,11.2,10.5,8.9,7.5,6.7,2.5,0.7,0.6,0
Kenny Sears,73.9,13.3,10,8.8,8,6.2,4,3.7,1.8,NA
Kawhi Leonard,72.7,13.7,13.6,9.5,8.6,7.7,6.2,5.5,0.9,NA
Anthony Davis,70.5,14,13.7,11,10.4,9.5,7.2,6.1,NA,NA
Roger Brown,68.9,13.3,10.9,10,9.3,7.3,6.5,6.1,1.8,NA
Jimmy Butler,67.8,13.8,11.2,9.1,8.9,7.9,7.1,7,1.1,NA
George Yardley,67.5,12.3,10,9,7.6,7.5,6.8,5.3,NA,NA
Arnie Johnson,66.5,9.1,8.7,7.5,7.2,6.7,NA,NA,NA,NA
Draymond Green,65.0,11.1,8.5,8.2,6.1,4.5,4.3,0.6,NA,NA
Terry Dischinger,64.0,11.3,10.3,9.2,5.9,5.8,4.8,3.9,3.8,1.4
