Thru 6 Years,Thru 6 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Giannis Antetokounmpo,,14.4,12.4,11.9,7.1,6.2,1.2
Jimmy Butler,89.4,13.8,11.2,9.1,7.1,7,1.1
Kevin Love,88.2,14.3,11.4,10,5.3,4.9,1.1
Tracy McGrady,88.1,16.1,12.2,11.5,6.6,3.3,2
Amar'e Stoudemire,87.6,14.6,14.6,11.2,6.2,4.4,0.1
Cedric Maxwell,83.8,12.2,11.7,11,9.1,6.6,4.2
Shawn Marion,83.7,13,12.5,11.7,9.8,9.1,4.1
Horace Grant,83.5,14.1,10.3,9.1,8,6.4,4.2
Grant Hill,83.0,14.6,11.7,10.7,10.2,7.3,5.4
Kawhi Leonard,83.0,13.7,13.6,8.6,7.7,6.2,5.5
Rudy Tomjanovich,82.9,12.8,10.1,8.4,7.3,6.9,1
