Thru 11 Years,Thru 11 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Matt Harpring,,8.8,6.1,5.5,4.7,4.7,2.8,2.8,2.6,2.6,1.2,0.2
Ed Pinckney,88.9,7.5,6.2,6.1,4.7,4,3.7,2.9,2.7,2.3,1.6,0.3
Ryan Anderson,88.4,8.9,6.5,6.4,5.2,4.8,3.9,3.5,3.1,2.5,2.3,-0.2
Johnny Green,88.4,8.4,5.6,5.1,5.1,3.8,2.6,2.4,2.3,1.7,1.5,1.2
Cedric Ceballos,88.3,9.8,6.2,5.5,5.2,4,2.8,2.4,1.3,1.3,1.3,0.4
Drew Gooden,87.1,8.5,6.6,6.5,4.4,3.6,3.3,2.7,1.9,1.8,1.7,-0.1
Luis Scola,86.6,8.6,6.5,6.3,5.5,4.4,4.4,3.4,3.3,2.5,0.8,NA
Orlando Woolridge,86.2,9,6.8,5.6,5.3,4.8,4.4,3.9,3.6,3.3,1.8,0.8
Boris Diaw,86.1,8.9,6.2,4.9,4.8,4.7,4.6,4.4,3,0.8,0.6,0.1
Jeff Foster,86.0,8.3,6.5,5.7,5.4,4.5,4.2,4.2,2.7,1.6,0.6,0.4
Junior Bridgeman,85.5,6.7,6.1,5.5,5.1,4.8,4,3.6,3.1,2.6,2.1,0.8
