,,,,,,,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
2000-01,21,LAL,NBA,PF,7,39,,,,24%,76%,-1.2,-5.0,2,0,2,1,5,0,5,0,3
2001-02,22,LAL,NBA,C,71,729,,,,22%,78%,+6.6,-1.1,18,13,54,4,28,0,96,10,23
2002-03,23,LAL,NBA,PF,58,620,,,,50%,50%,-4.7,-8.4,10,11,51,6,19,0,41,5,18
2003-04,24,LAL,NBA,PF,68,1442,,,,61%,40%,-1.0,-7.7,20,15,80,8,56,0,126,9,29
2004-05,25,LAL,NBA,PF,43,423,,,,65%,35%,-3.4,+0.1,7,1,23,2,11,0,32,1,4
2005-06,26,LAL,NBA,PF,2,6,,,,3%,97%,+88.3,+86.0,0,0,0,0,0,0,2,0,0
2006-07,27,ATL,NBA,C,14,81,,,,26%,75%,-12.5,-7.3,0,1,6,1,7,0,4,0,1
Career,,,NBA,,263,3340,,,,49%,51%,-0.5,-5.2,57,41,216,22,126,0,306,25,78
,,,,,,,,,,,,,,,,,,,,,,
6 seasons,,LAL,NBA,,249,3259,,,,50%,50%,-0.2,-5.1,57,40,210,21,119,0,302,25,77
1 season,,ATL,NBA,,14,81,,,,26%,75%,-12.5,-7.3,0,1,6,1,7,0,4,0,1
