Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Stanislav Medvedenko,,3,1.8,0.5,0.4,0.2,0.1,0,NA,NA,NA
Dave Lattin,90.6,3.2,2,0.6,0.4,0.2,NA,NA,NA,NA,NA
Barney Cable,86.9,3.3,1.6,0.7,0.4,0.3,0.1,NA,NA,NA,NA
Juan Hernangómez,85.6,3,1.8,0.4,NA,NA,NA,NA,NA,NA,NA
Darius Miller,84.6,3,1.6,0.8,0.5,-0.1,NA,NA,NA,NA,NA
Reggie Williams,83.5,3.7,1.7,0.3,0.3,0.2,0.2,0,NA,NA,NA
Lou Amundson,81.4,2.9,1.8,1,0.6,0.3,0.1,0.1,0.1,0.1,-0.1
Lorenzo Williams,81.0,3.1,1.7,1.1,0.4,0.4,0.3,0.3,NA,NA,NA
Cheick Diallo,78.8,2.6,1.9,0.5,NA,NA,NA,NA,NA,NA,NA
DerMarr Johnson,77.7,3.2,1.7,1.3,0.4,0.1,0,-0.3,NA,NA,NA
Mike Farmer,75.9,3.2,1.8,1.3,0.1,0.1,-0.1,-0.1,NA,NA,NA
