Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Travis Mays,,2.1,0.3,0,NA,NA
Danuel House,83.3,2.3,0.6,0,NA,NA
John Kuester,83.0,1.9,0.1,0,NA,NA
Jerry Eaves,79.9,2,0.7,0,-0.1,NA
Trajan Langdon,79.5,2,0.6,0.3,NA,NA
Kedrick Brown,76.3,2,0.5,0.4,0.1,NA
Cliff Barker,76.2,2.2,0.1,-0.2,NA,NA
Stan Noszka,75.4,1.8,0.4,-0.2,NA,NA
Alexey Shved,75.1,2.2,0.8,0.2,NA,NA
Bernard Robinson,74.7,1.7,0.3,0.1,NA,NA
Mark Davis,74.5,2.3,0.2,-0.1,-0.1,-0.1
