Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13
Vernon Maxwell,,5.9,3.9,3.9,3.5,2.8,1.9,1.6,1.5,0.9,0.8,0.8,0,0
Earl Boykins,88.4,6,4.5,4.1,3.5,2.9,2.3,1,1,0.8,0.3,0.1,0,-0.3
Hubert Davis,86.9,5.6,4.8,4.2,3.4,2.5,2.2,1.7,1.6,1.2,0.5,0.1,-0.1,NA
Kevin Grevey,86.3,5.8,4.4,3.6,3.4,3.3,2.1,2,1,0.7,0.1,NA,NA,NA
Darrell Walker,86.1,6.3,3.8,3.7,2.9,2.8,2.4,2.3,2.1,0.8,0.2,NA,NA,NA
Darwin Cook,85.7,6,3.9,3.6,3,2.7,1.6,1.2,0.9,NA,NA,NA,NA,NA
Gerald Henderson,85.2,6.2,5.3,3.7,3.6,2.9,2.3,2.2,1.7,1.3,1.2,1.1,0.5,0
Henry Bibby,84.7,4.7,4.1,3.7,3.4,2.9,2.3,1.5,1,1,NA,NA,NA,NA
Steve Blake,84.6,5.8,3.8,3.3,2.8,2.4,2.1,2.1,1.8,1.8,1.1,1,0.7,0.3
Lucious Harris,84.4,5.1,4.7,4.1,3.1,2.8,2.5,2.1,1.3,1.1,0.8,0.6,0.4,NA
Anthony Morrow,84.4,5.7,3.5,3,3,2.4,1.9,1.7,1.2,0.7,NA,NA,NA,NA
