Thru 12 Years,Thru 12 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Earl Cureton,,2.7,2.6,2.1,2,1.5,1.2,1,0.8,0.7,0,0,-0.1
Tony Massenburg,87.7,2.8,2.2,1.8,1.7,1.5,1.3,1,0.9,0.7,0.4,0.2,-0.1
Tom Hammonds,87.0,2.6,2.4,2.2,1.8,1.7,1,0.8,0.8,0.6,0.5,0.5,-0.1
Brad Lohaus,84.1,3.3,2.7,2.7,1.8,1.5,1.3,0.9,0.9,0.1,0.1,-0.1,NA
Jason Smith,83.5,2.3,2.2,1.8,1.7,1.6,1.5,1.2,0.9,0.7,0.2,0,NA
Robert Traylor,83.0,2.5,2.5,2.4,1.9,1.8,1.2,1,NA,NA,NA,NA,NA
Jared Jeffries,82.8,3.1,2.6,2.2,1.7,1.2,1.2,0.6,0.6,0.3,0.1,-0.3,NA
Bill Willoughby,82.6,3,2.6,1.8,1.5,1.2,1.2,1.1,0.9,NA,NA,NA,NA
Jud Buechler,82.0,2.9,2.3,1.9,1.8,1.5,1.5,1.2,1.2,0.8,0.5,0.5,0.4
Corky Calhoun,81.2,3.1,2.5,2.3,2.2,2.1,1.3,1,0,NA,NA,NA,NA
Matt Bullard,80.3,3.4,2.6,2.5,2.4,1.8,1.7,1,0.6,0.5,0.2,0.1,NA
