,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,TRB,AST,PF,PTS
1951-52,24,FTW,NBA,,5,,2,3,,,5,11
1952-53,25,FTW,NBA,,2,,5,8,,,6,9
1955-56,28,STL,NBA,,7,,9,14,,,6,21
1956-57,29,STL,NBA,,6,13,6,10,,,6,17
1957-58,30,STL,NBA,,3,12,6,10,,,6,11
1958-59,31,STL,NBA,,4,8,3,4,,,6,9
1959-60,32,TOT,NBA,,1,,4,4,,,6,6
1959-60,32,MNL,NBA,,1,,4,4,,,6,6
Career,,,,,7,,9,14,,,6,21
4 Seasons,,STL,NBA,,7,,9,14,,,6,21
2 Seasons,,FTW,NBA,,5,,5,8,,,6,11
1 Season,,MNL,NBA,,1,,4,4,,,6,6
