Thru 9 Years,Thru 9 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Chuck Share,,8.6,8.1,6.7,4.7,4.2,4,3.3,1.3,NA
Sam Lacey,88.5,7.7,7.4,6.5,5.6,5,4.3,2.7,1.2,0.3
Tom Boerwinkle,87.1,9,7.4,6.3,4.4,3.8,2.6,2.3,1.7,0.5
Nikola Vučević,87.1,10.1,7,5.7,5.2,4.4,4,3.6,1.8,NA
Darryl Dawkins,86.2,7.9,6.4,6.3,5.7,4.6,4,2.9,2.1,0.1
Emeka Okafor,85.7,8.2,7.1,6.5,5.8,5.5,4.5,4,1.7,1
DeMarcus Cousins,85.5,7.9,7.6,6,5.7,4.7,4.4,4.2,2.4,1.1
Rik Smits,85.2,7.8,7.2,6.6,5,4.3,3.4,3.3,2.9,2.7
Tyson Chandler,85.1,10,8.3,7.9,5.4,3.9,3.4,2.9,1.9,1.8
Andrew Bynum,85.0,8,7.8,6.6,5.5,4.8,4.2,0.4,0.1,NA
Elmore Smith,84.9,8.7,6.8,5.9,4.7,3.9,2.9,1.5,0.3,NA
