Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1951-52,24,FTW,NBA,C,2,NA,35,8,11,0.727,3,5,0.6,10,3,8,19
1952-53,25,FTW,NBA,C,8,NA,198,11,27,0.407,26,39,0.667,52,12,45,48
1955-56,28,STL,NBA,C,8,NA,231,36,73,0.493,31,48,0.646,73,13,41,103
1956-57,29,STL,NBA,C,10,NA,168,31,72,0.431,30,50,0.6,63,6,39,92
1957-58,30,STL,NBA,C,11,NA,199,24,61,0.393,25,38,0.658,68,11,49,73
1958-59,31,STL,NBA,C,6,NA,122,8,27,0.296,10,14,0.714,52,9,16,26
1959-60,32,MNL,NBA,C,9,NA,123,6,14,0.429,10,11,0.909,34,5,26,22
Career,NA,,NBA,,54,NA,1076,124,285,0.435,135,205,0.659,352,59,224,383
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4 seasons,NA,STL,NBA,,35,NA,720,99,233,0.425,96,150,0.64,256,39,145,294
2 seasons,NA,FTW,NBA,,10,NA,233,19,38,0.5,29,44,0.659,62,15,53,67
1 season,NA,MNL,NBA,,9,NA,123,6,14,0.429,10,11,0.909,34,5,26,22
