Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Chuck Share,,8.6,8.1,6.7,4.7,4.2,4,3.3,1.3,NA,NA
Nikola Vučević,87.1,10.1,7,5.7,5.2,4.4,4,3.6,1.8,NA,NA
Tom Boerwinkle,86.8,9,7.4,6.3,4.4,3.8,2.6,2.3,1.7,0.5,0.2
DeMarcus Cousins,85.5,7.9,7.6,6,5.7,4.7,4.4,4.2,2.4,1.1,NA
Andrew Bynum,85.0,8,7.8,6.6,5.5,4.8,4.2,0.4,0.1,NA,NA
Elmore Smith,84.9,8.7,6.8,5.9,4.7,3.9,2.9,1.5,0.3,NA,NA
Emeka Okafor,84.3,8.2,7.1,6.5,5.8,5.5,4.5,4,1.7,1,1
Enes Kanter,83.9,8.1,7.6,6.4,5.8,5.4,2.3,2.2,1.7,NA,NA
Jonas Valančiūnas,82.4,8.2,7.9,7.6,6.9,6.7,4.2,3.9,NA,NA,NA
Ray Felix,81.9,8.6,7.2,5.8,5.5,5.5,2.3,2,1.8,0.8,NA
Bill Walton,81.1,10.2,8.4,5,3.8,3.6,3.3,2.3,2,0.8,-0.1
