Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1951-52,24,FTW,NBA,C,2,NA,17.5,4,5.5,0.727,1.5,2.5,0.6,5,1.5,4,9.5
1952-53,25,FTW,NBA,C,8,NA,24.8,1.4,3.4,0.407,3.3,4.9,0.667,6.5,1.5,5.6,6
1955-56,28,STL,NBA,C,8,NA,28.9,4.5,9.1,0.493,3.9,6,0.646,9.1,1.6,5.1,12.9
1956-57,29,STL,NBA,C,10,NA,16.8,3.1,7.2,0.431,3,5,0.6,6.3,0.6,3.9,9.2
1957-58,30,STL,NBA,C,11,NA,18.1,2.2,5.5,0.393,2.3,3.5,0.658,6.2,1,4.5,6.6
1958-59,31,STL,NBA,C,6,NA,20.3,1.3,4.5,0.296,1.7,2.3,0.714,8.7,1.5,2.7,4.3
1959-60,32,MNL,NBA,C,9,NA,13.7,0.7,1.6,0.429,1.1,1.2,0.909,3.8,0.6,2.9,2.4
Career,NA,,NBA,,54,NA,19.9,2.3,5.3,0.435,2.5,3.8,0.659,6.5,1.1,4.1,7.1
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4 seasons,NA,STL,NBA,,35,NA,20.6,2.8,6.7,0.425,2.7,4.3,0.64,7.3,1.1,4.1,8.4
2 seasons,NA,FTW,NBA,,10,NA,23.3,1.9,3.8,0.5,2.9,4.4,0.659,6.2,1.5,5.3,6.7
1 season,NA,MNL,NBA,,9,NA,13.7,0.7,1.6,0.429,1.1,1.2,0.909,3.8,0.6,2.9,2.4
