,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1962-63,22,SYR,NBA,,15,,12,,,,,,,,,35
1963-64,23,PHI,NBA,,12,,11,15,,,,,,,,33
1964-65,24,PHI,NBA,,13,26,11,14,,,15,,,,6,30
1965-66,25,PHI,NBA,,12,22,12,17,,,19,,,,6,29
1966-67,26,PHI,NBA,,14,,15,19,,,,,,,,36
1967-68,27,PHI,NBA,,13,26,10,14,,,16,6,,,6,30
1968-69,28,PHI,NBA,,13,,14,15,,,,,,,,37
1969-70,29,CHI,NBA,,16,31,14,17,,,16,7,,,6,44
1970-71,30,CHI,NBA,,15,27,16,17,,,15,6,,,6,44
1971-72,31,CHI,NBA,,22,,15,18,,,,,,,,56
1972-73,32,CHI,NBA,,15,27,16,19,,,10,8,,,6,36
1973-74,33,CHI,NBA,,13,,17,18,,,,,,,,39
1974-75,34,CHI,NBA,,14,25,13,14,,,13,6,,,5,39
Career,,,,,22,,17,,,,,,,,,56
7 Seasons,,"PHI,SYR",NBA,,15,,15,,,,,,,,,37
6 Seasons,,CHI,NBA,,22,,17,19,,,,,,,,56
