Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1962-63,22,SYR,NBA,SF,78,NA,1992,352,751,0.469,253,362,0.699,NA,NA,561,83,NA,NA,220,957
1963-64,23,PHI,NBA,SF,76,NA,2775,492,1118,0.44,330,464,0.711,NA,NA,784,124,NA,NA,232,1314
1964-65,24,PHI,NBA,SF,79,NA,2187,377,936,0.403,288,388,0.742,NA,NA,528,132,NA,NA,200,1042
1965-66,25,PHI,NBA,SF,80,NA,2603,443,982,0.451,335,468,0.716,NA,NA,636,201,NA,NA,238,1221
1966-67,26,PHI,NBA,SF,81,NA,2691,561,1150,0.488,445,581,0.766,NA,NA,660,188,NA,NA,232,1567
1967-68,27,PHI,NBA,SF,82,NA,2623,539,1172,0.46,387,533,0.726,NA,NA,607,157,NA,NA,252,1465
1968-69,28,PHI,NBA,SF,82,NA,2753,554,1145,0.484,369,459,0.804,NA,NA,640,144,NA,NA,244,1477
1969-70,29,CHI,NBA,SF,78,NA,2726,596,1249,0.477,483,568,0.85,NA,NA,604,192,NA,NA,203,1675
1970-71,30,CHI,NBA,SF,81,NA,2927,650,1398,0.465,480,559,0.859,NA,NA,588,179,NA,NA,187,1780
1971-72,31,CHI,NBA,SF,78,NA,2588,619,1225,0.505,481,568,0.847,NA,NA,473,178,NA,NA,171,1719
1972-73,32,CHI,NBA,SF,79,NA,2455,597,1248,0.478,376,452,0.832,NA,NA,395,179,NA,NA,166,1570
1973-74,33,CHI,NBA,SF,82,NA,2661,572,1178,0.486,439,502,0.875,131,275,406,200,68,4,201,1583
1974-75,34,CHI,NBA,SF,76,NA,2452,524,1076,0.487,413,480,0.86,114,318,432,169,49,6,181,1461
Career,NA,,NBA,,1032,NA,33433,6876,14628,0.47,5079,6384,0.796,245,593,7314,2126,117,10,2727,18831
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7 seasons,NA,"SYR,PHI",NBA,,558,NA,17624,3318,7254,0.457,2407,3255,0.739,NA,NA,4416,1029,NA,NA,1618,9043
6 seasons,NA,CHI,NBA,,474,NA,15809,3558,7374,0.483,2672,3129,0.854,245,593,2898,1097,117,10,1109,9788
