,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1962-63,22,SYR,NBA,,10,,7,,,,,,,,2,24
1963-64,23,PHI,NBA,,9,21,9,11,,,15,,,,,27
1964-65,24,PHI,NBA,,11,22,9,11,,,14,4,,,5,31
1965-66,25,PHI,NBA,,6,17,8,11,,,14,8,,,5,17
1966-67,26,PHI,NBA,,10,21,13,18,,,13,6,,,5,33
1967-68,27,PHI,NBA,,13,26,14,20,,,12,5,,,6,32
1968-69,28,PHI,NBA,,11,17,4,7,,,10,3,,,2,26
1969-70,29,CHI,NBA,,16,28,9,12,,,14,3,,,5,39
1970-71,30,CHI,NBA,,9,19,5,6,,,12,6,,,5,23
1971-72,31,CHI,NBA,,7,11,6,8,,,5,2,,,3,18
1972-73,32,CHI,NBA,,12,23,10,11,,,13,4,,,4,30
1973-74,33,CHI,NBA,,14,20,15,17,,,9,4,,,5,33
1974-75,34,CHI,NBA,,9,16,16,16,,,8,4,,,6,28
Career,,,,,16,,16,,,,,,,,,39
7 Seasons,,"PHI,SYR",NBA,,13,,14,,,,,,,,,33
6 Seasons,,CHI,NBA,,16,28,16,17,,,14,6,,,6,39
