Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1962-63,22,SYR,NBA,SF,5,NA,26,5.4,10.6,0.509,4.4,6,0.733,NA,NA,9.4,1.8,NA,NA,1.6,15.2
1963-64,23,PHI,NBA,SF,5,NA,38,6,15.4,0.39,6.8,9.2,0.739,NA,NA,10.4,2.6,NA,NA,3,18.8
1964-65,24,PHI,NBA,SF,11,NA,42.6,7.5,15.7,0.48,5.2,6.8,0.76,NA,NA,7.2,1.6,NA,NA,3.5,20.3
1965-66,25,PHI,NBA,SF,5,NA,36.2,4.8,12.8,0.375,5,6.2,0.806,NA,NA,7.4,3,NA,NA,3.6,14.6
1966-67,26,PHI,NBA,SF,15,NA,36.7,7.7,16.4,0.467,6.4,7.9,0.807,NA,NA,7.6,2.1,NA,NA,2.9,21.7
1967-68,27,PHI,NBA,SF,13,NA,37.3,6.6,16.2,0.41,5.8,8.6,0.679,NA,NA,7.4,1.8,NA,NA,3.4,19.1
1968-69,28,PHI,NBA,SF,4,NA,27.3,5.8,10.8,0.535,2,3,0.667,NA,NA,5.8,2,NA,NA,1.3,13.5
1969-70,29,CHI,NBA,SF,5,NA,35.6,7,16.6,0.422,5.4,6.6,0.818,NA,NA,8.4,2.2,NA,NA,2.8,19.4
1970-71,30,CHI,NBA,SF,7,NA,33.4,6.3,14.3,0.44,2.4,3.4,0.708,NA,NA,7.1,3.1,NA,NA,2.9,15
1971-72,31,CHI,NBA,SF,4,NA,24.3,4,9.5,0.421,3.3,4,0.813,NA,NA,3.5,1,NA,NA,1.8,11.3
1972-73,32,CHI,NBA,SF,7,NA,32.7,6,17.3,0.347,4.7,5.3,0.892,NA,NA,8.9,2,NA,NA,2.1,16.7
1973-74,33,CHI,NBA,SF,11,NA,36.6,7.4,14.5,0.509,6.2,7.2,0.861,2.4,3.2,5.5,1.6,0.9,0.1,2.4,20.9
1974-75,34,CHI,NBA,SF,13,NA,33.2,6.2,12.6,0.494,5.1,5.8,0.88,0.8,3.8,4.6,1.8,1,0.1,2.5,17.5
Career,NA,,NBA,,105,NA,35.1,6.5,14.6,0.449,5.2,6.6,0.787,1.5,3.5,7,2,1,0.1,2.7,18.2
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7 seasons,NA,"SYR,PHI",NBA,,58,NA,36.5,6.7,14.9,0.448,5.5,7.3,0.748,NA,NA,7.7,2.1,NA,NA,3,18.9
6 seasons,NA,CHI,NBA,,47,NA,33.5,6.4,14.1,0.45,4.8,5.6,0.848,1.5,3.5,6.1,2,1,0.1,2.4,17.5
