Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,PF,PTS
1963-64,23,PHI,NBA,SF,1,0,12:00,2,5,0.4,0,0,NA,NA,0,0,NA,NA,1,4
1965-66,25,PHI,NBA,SF,1,0,25:00,3,10,0.3,2,3,0.667,NA,6,4,NA,NA,2,8
1966-67,26,PHI,NBA,SF,1,0,22:00,6,9,0.667,3,4,0.75,NA,4,2,NA,NA,2,15
1969-70,29,CHI,NBA,SF,1,0,17:00,1,3,0.333,2,2,1,NA,2,1,NA,NA,2,4
1970-71,30,CHI,NBA,SF,1,0,19:00,3,9,0.333,4,5,0.8,NA,3,1,NA,NA,1,10
1972-73,32,CHI,NBA,SF,1,0,16:00,1,5,0.2,2,2,1,NA,1,0,NA,NA,2,4
1973-74,33,CHI,NBA,SF,1,1,14:00,4,5,0.8,4,4,1,0,2,1,0,0,1,12
Career,NA,,NBA,,7,1,125,20,46,0.435,17,20,0.85,0,18,9,0,0,11,57
