Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1962-63,22,SYR,NBA,SF,78,NA,1992,6.4,13.6,0.469,4.6,6.5,0.699,NA,NA,10.1,1.5,NA,NA,4,17.3
1963-64,23,PHI,NBA,SF,76,NA,2775,6.4,14.5,0.44,4.3,6,0.711,NA,NA,10.2,1.6,NA,NA,3,17
1964-65,24,PHI,NBA,SF,79,NA,2187,6.2,15.4,0.403,4.7,6.4,0.742,NA,NA,8.7,2.2,NA,NA,3.3,17.2
1965-66,25,PHI,NBA,SF,80,NA,2603,6.1,13.6,0.451,4.6,6.5,0.716,NA,NA,8.8,2.8,NA,NA,3.3,16.9
1966-67,26,PHI,NBA,SF,81,NA,2691,7.5,15.4,0.488,6,7.8,0.766,NA,NA,8.8,2.5,NA,NA,3.1,21
1967-68,27,PHI,NBA,SF,82,NA,2623,7.4,16.1,0.46,5.3,7.3,0.726,NA,NA,8.3,2.2,NA,NA,3.5,20.1
1968-69,28,PHI,NBA,SF,82,NA,2753,7.2,15,0.484,4.8,6,0.804,NA,NA,8.4,1.9,NA,NA,3.2,19.3
1969-70,29,CHI,NBA,SF,78,NA,2726,7.9,16.5,0.477,6.4,7.5,0.85,NA,NA,8,2.5,NA,NA,2.7,22.1
1970-71,30,CHI,NBA,SF,81,NA,2927,8,17.2,0.465,5.9,6.9,0.859,NA,NA,7.2,2.2,NA,NA,2.3,21.9
1971-72,31,CHI,NBA,SF,78,NA,2588,8.6,17,0.505,6.7,7.9,0.847,NA,NA,6.6,2.5,NA,NA,2.4,23.9
1972-73,32,CHI,NBA,SF,79,NA,2455,8.8,18.3,0.478,5.5,6.6,0.832,NA,NA,5.8,2.6,NA,NA,2.4,23
1973-74,33,CHI,NBA,SF,82,NA,2661,7.7,15.9,0.486,5.9,6.8,0.875,1.8,3.7,5.5,2.7,0.9,0.1,2.7,21.4
1974-75,34,CHI,NBA,SF,76,NA,2452,7.7,15.8,0.487,6.1,7,0.86,1.7,4.7,6.3,2.5,0.7,0.1,2.7,21.5
Career,NA,,NBA,,1032,NA,33433,7.4,15.8,0.47,5.5,6.9,0.796,1.7,4.2,7.9,2.3,0.8,0.1,2.9,20.3
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7 seasons,NA,"SYR,PHI",NBA,,558,NA,17624,6.8,14.8,0.457,4.9,6.6,0.739,NA,NA,9,2.1,NA,NA,3.3,18.5
6 seasons,NA,CHI,NBA,,474,NA,15809,8.1,16.8,0.483,6.1,7.1,0.854,1.7,4.2,6.6,2.5,0.8,0.1,2.5,22.3
