Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Chandler Parsons,,7.6,7,5.5,4.3,3.4,1.1,0.2,0,NA,NA
Gene Banks,87.8,7.9,6.2,5.6,4.3,3.6,3.5,NA,NA,NA,NA
Curtis Perry,86.7,7.6,6,5.3,4.8,2.8,1.7,1.3,0.2,NA,NA
Trooper Washington,85.7,8.3,6.9,6.3,6,3.4,2.2,NA,NA,NA,NA
Warren Davis,84.3,8.1,5.8,5.7,3.4,3.4,3.2,NA,NA,NA,NA
Sonny Parker,84.3,7,6.8,6.2,3,2.3,1.6,NA,NA,NA,NA
Reggie Williams,83.7,6.6,5.9,5.8,4.8,3.3,0.4,0.3,0.1,0,-1.1
Khris Middleton,83.5,6.9,6.7,6.1,6.1,2.7,1.6,0.9,NA,NA,NA
Bob Gross,83.1,7.4,7.1,4.4,3.8,3.1,2.9,1.7,0.2,NA,NA
Jae Crowder,83.0,7.3,6.7,4.4,3.9,2.6,2.3,1.5,NA,NA,NA
Fred Schaus,82.4,8.5,8.4,6.8,4,3.7,NA,NA,NA,NA,NA
