Thru 8 Years,Thru 8 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Chandler Parsons,,7.6,7,5.5,4.3,3.4,1.1,0.2,0
Jamal Mashburn,88.6,7.3,6.4,6.3,4.1,3.6,1.8,0.9,0.2
Gene Banks,87.8,7.9,6.2,5.6,4.3,3.6,3.5,NA,NA
Kurt Thomas,86.8,8.2,6.5,5.4,5.2,3.8,2.5,0.5,-0.2
Curtis Perry,86.7,7.6,6,5.3,4.8,2.8,1.7,1.3,0.2
Trooper Washington,85.7,8.3,6.9,6.3,6,3.4,2.2,NA,NA
Warren Davis,84.3,8.1,5.8,5.7,3.4,3.4,3.2,NA,NA
Sonny Parker,84.3,7,6.8,6.2,3,2.3,1.6,NA,NA
Khris Middleton,83.5,6.9,6.7,6.1,6.1,2.7,1.6,0.9,NA
Reggie Williams,83.2,6.6,5.9,5.8,4.8,3.3,0.4,0,-1.1
Bob Gross,83.1,7.4,7.1,4.4,3.8,3.1,2.9,1.7,0.2
