Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Darius Miller,,3,1.6,0.8,0.5,-0.1
Barney Cable,89.5,3.3,1.6,0.7,0.4,0.1
Maurice Taylor,88.3,3.2,1.8,0.9,0.7,-0.3
Rowland Garrett,87.6,3.1,1.1,0.8,0.5,-0.1
Lorenzo Williams,87.3,3.1,1.7,1.1,0.4,0.3
Stanislav Medvedenko,87.1,3,1.8,0.5,0.4,0.1
DerMarr Johnson,86.8,3.2,1.7,1.3,0.4,0
Terry Davis,86.2,3.1,2,0.5,0.4,-0.1
Marty Conlon,85.5,3.1,1.4,1,0.6,0.3
Barry Clemens,85.0,2.8,1.7,0.9,0.1,0.1
Simmie Hill,84.9,3.1,1.6,1.2,1,NA
