Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Darius Miller,,3,1.6,0.8,0.5,-0.1,NA,NA,NA,NA,NA
Rowland Garrett,87.6,3.1,1.1,0.8,0.5,-0.1,NA,NA,NA,NA,NA
Barney Cable,85.3,3.3,1.6,0.7,0.4,0.3,0.1,NA,NA,NA,NA
Simmie Hill,84.9,3.1,1.6,1.2,1,NA,NA,NA,NA,NA,NA
Stanislav Medvedenko,84.6,3,1.8,0.5,0.4,0.2,0.1,0,NA,NA,NA
Sam Young,83.1,2.9,1.2,0.9,0.2,NA,NA,NA,NA,NA,NA
Bill Hewitt,82.3,2.4,1.7,0.8,0.6,-0.1,-0.2,NA,NA,NA,NA
Dave Lattin,82.2,3.2,2,0.6,0.4,0.2,NA,NA,NA,NA,NA
DerMarr Johnson,82.1,3.2,1.7,1.3,0.4,0.1,0,-0.3,NA,NA,NA
Lou Amundson,80.8,2.9,1.8,1,0.6,0.3,0.1,0.1,0.1,0.1,-0.1
Bill Turner,80.5,3.1,1.1,0.7,0.5,-0.2,-0.4,NA,NA,NA,NA
