Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Keith Van Horn,,6.5,6.3,6.3,5.5,4.8,3.7,3.5,2.8,2.3,NA,NA,NA
Ed Davis,94.1,6.7,6.3,5.7,5.4,5,4,3.9,2.6,1.7,NA,NA,NA
John Salley,89.8,6.2,6.1,5.1,4.8,4.8,3.8,3.6,3.5,2.5,0.6,0.5,NA
Luis Scola,89.1,8.6,6.5,6.3,5.5,4.4,4.4,3.4,3.3,2.5,0.8,NA,NA
Cliff Levingston,89.0,7,6.1,5.5,5.5,5.3,4.7,3.4,2.9,2,1.3,0.5,NA
Junior Bridgeman,88.7,6.7,6.1,5.5,5.1,4.8,4,3.6,3.1,2.6,2.1,0.8,0.6
Terry Tyler,88.5,6.4,5.8,5.5,5.4,4.5,3.4,2.9,2.5,1.9,1.2,1.2,NA
Jack Coleman,88.1,6.7,6.5,6.4,6.2,5.8,5,4.3,4.1,2.6,NA,NA,NA
Jim Washington,88.0,6.7,5.5,5.4,4.9,4.7,4.3,3.6,2.4,1.3,0.5,0,NA
Ed Pinckney,87.4,7.5,6.2,6.1,4.7,4,3.7,2.9,2.7,2.3,1.6,0.7,0.3
Dave Greenwood,87.2,7.1,6.5,6.5,6.2,5.7,3.6,3.4,2.2,2,1.7,1.1,0.4
