,,,,,,,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
2000-01,25,NJN,NBA,SF,49,1733,,,40%,60%,,-3.0,+4.8,26,39,78,17,80,0,185,16,65
2001-02,26,NJN,NBA,SF,81,2465,,,72%,28%,,+4.3,-0.1,57,48,100,15,78,0,355,14,69
2002-03,27,PHI,NBA,PF,74,2337,,,1%,87%,11%,+2.3,-0.3,38,41,110,20,98,0,196,15,69
2003-04,28,TOT,NBA,SF,72,2340,,,79%,21%,1%,+0.6,+1.0,45,63,91,29,127,0,268,12,71
2003-04,28,NYK,NBA,SF,47,1574,,,82%,17%,1%,0.0,+2.6,32,44,62,21,93,0,186,11,49
2003-04,28,MIL,NBA,SF,25,766,,,71%,29%,,+1.8,+0.5,13,19,29,8,34,0,82,1,22
2004-05,29,TOT,NBA,SF-PF,62,1502,,,22%,67%,11%,+2.3,+0.9,22,25,92,20,67,0,174,10,43
2004-05,29,MIL,NBA,SF,33,818,,,37%,61%,3%,-2.4,+1.1,10,18,40,9,27,0,97,3,19
2004-05,29,DAL,NBA,PF,29,684,,,5%,73%,22%,+7.8,+2.0,12,7,52,11,40,0,77,7,24
2005-06,30,DAL,NBA,SF,53,1090,,,30%,69%,1%,+3.6,-4.2,20,16,49,16,41,13,85,2,24
Career,,,NBA,,391,11467,,,44%,52%,4%,+1.7,+0.6,208,232,520,117,491,13,1263,69,341
,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,NJN,NBA,,130,4198,,,59%,41%,,+1.3,+1.9,83,87,178,32,158,0,540,30,134
2 seasons,,DAL,NBA,,82,1774,,,20%,71%,9%,+5.2,-1.8,32,23,101,27,81,13,162,9,48
1 season,,PHI,NBA,,74,2337,,,1%,87%,11%,+2.3,-0.3,38,41,110,20,98,0,196,15,69
2 seasons,,MIL,NBA,,58,1584,,,53%,45%,1%,-0.4,+0.8,23,37,69,17,61,0,179,4,41
1 season,,NYK,NBA,,47,1574,,,82%,17%,1%,0.0,+2.6,32,44,62,21,93,0,186,11,49
