Season,Team,Lg,Salary
2014-15,Los Angeles Lakers,NBA,"$507,336"
2015-16,Los Angeles Lakers,NBA,"$845,059"
2016-17,Los Angeles Lakers,NBA,"$12,500,000"
2017-18,Cleveland Cavaliers,NBA,"$11,562,500"
2018-19,Cleveland Cavaliers,NBA,"$12,500,000"
Career,(may be incomplete),,"$37,914,895"
