Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Jordan Clarkson,,3,2.4,2.1,1.8,1.2,NA,NA,NA
George Dempsey,88.8,3.5,2.2,2.1,1.5,1.4,NA,NA,NA
Haywoode Workman,87.5,2.8,2.5,1.9,1.6,1.4,0.3,0.1,0.1
Larry Wright,86.4,3.5,2.7,1.8,1.4,1.2,0,NA,NA
Trey Burke,85.5,2.4,2.4,2.1,1.9,0.9,0.5,NA,NA
Devin Booker,82.8,3.5,2.4,2,1.9,NA,NA,NA,NA
Gary Neal,82.2,3.5,2.5,1.9,1.4,1,0.6,-0.1,NA
Anthony Bowie,81.3,2.9,2.5,2,1.6,1.3,0.7,0.7,0.5
Sam Vincent,80.1,3.3,2.4,2.3,1.1,0.9,0.5,0.3,NA
Sonny Hertzberg,79.8,4,2.5,2.3,1.4,0.7,NA,NA,NA
Kent Bazemore,79.1,4.1,2.2,2.1,1.6,0.7,0.2,0.1,NA
