Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Jordan Clarkson,,3,2.4,2.1,1.8,1.2
Randy Foye,95.1,3.1,2.3,2.2,1.7,1.1
Robert Pack,93.3,3.1,2.7,2.2,1.7,1.1
Earl Watson,90.8,2.7,2.3,2.3,1.8,1.5
Greg Buckner,90.3,3.1,2.3,2,1.8,0.3
John Battle,90.0,3.2,2.3,1.7,1.5,1
Marko Jarić,88.9,2.8,2.3,1.9,1.5,1.5
Evan Turner,88.9,2.5,2.4,2.3,2.1,1.4
George Dempsey,88.8,3.5,2.2,2.1,1.5,1.4
Tony Allen,87.5,2.7,2.7,1.9,1.7,1.6
Eric Piatkowski,87.5,3.9,2.3,2.3,2,1.2
