Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Rick Roberson,,3.6,3.5,3.2,3,1,0.4,0,NA,NA,NA,NA,NA
Alex Len,89.0,4.5,3.4,3.2,3,1.3,0.2,NA,NA,NA,NA,NA,NA
Aron Baynes,82.7,4.1,3.9,3,3,2.4,0.6,0.1,NA,NA,NA,NA,NA
Nerlens Noel,82.3,4.3,4,4,3,1.3,NA,NA,NA,NA,NA,NA,NA
Ira Harge,82.0,4,3.5,3.4,2.7,2.6,0,NA,NA,NA,NA,NA,NA
Leon Douglas,81.1,3.6,3.2,3.1,2.1,2.1,1,0,NA,NA,NA,NA,NA
Chris Mihm,79.8,4,3.6,2.9,1.3,0.9,0.7,0.1,0,NA,NA,NA,NA
Kurt Nimphius,78.8,4.8,3.3,3.1,2.9,1.5,1,0.7,0.1,NA,NA,NA,NA
DeSagana Diop,77.5,4.1,3.8,3,1.4,1,0.4,0,-0.1,-0.1,-0.2,-0.2,-0.3
Joel Anthony,75.7,3.4,3.3,3.1,1.7,1.2,1.2,0.6,0.4,0.4,0.2,NA,NA
Luc Longley,73.9,3.5,3.4,3.1,2.2,1.8,1.8,1.3,0.2,0.2,0,NA,NA
