,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1969-70,22,LAL,NBA,,10,,6,8,,,,,,,,26
1970-71,23,LAL,NBA,,6,,10,13,,,,,,,,16
1971-72,24,CLE,NBA,,12,24,11,18,,,25,6,,,6,29
1972-73,25,CLE,NBA,,9,19,8,13,,,23,8,,,6,24
1973-74,26,POR,NBA,,12,18,13,16,8,13,19,6,3,4,6,37
1974-75,27,NOJ,NBA,,8,,4,7,,,,,,,,20
1975-76,28,KCK,NBA,,6,,4,8,,,,,,,,13
Career,,,,,12,,13,18,,,,,,,,37
2 Seasons,,LAL,NBA,,10,,10,13,,,,,,,,26
2 Seasons,,CLE,NBA,,12,24,11,18,,,25,8,,,6,29
1 Season,,KCK,NBA,,6,,4,8,,,,,,,,13
1 Season,,POR,NBA,,12,18,13,16,8,13,19,6,3,4,6,37
1 Season,,NOJ,NBA,,8,,4,7,,,,,,,,20
