Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1969-70,22,LAL,NBA,C,74,2005,11.2,0.474,0.362,NA,NA,NA,5.8,NA,NA,NA,0.1,2.9,3,0.072,NA,NA,NA,NA,NA
1970-71,23,LAL,NBA,C,65,909,11.8,0.464,0.475,NA,NA,15,6.4,NA,NA,NA,0.1,0.9,1,0.05,NA,NA,NA,NA,NA
1971-72,24,CLE,NBA,PF,63,2207,13.6,0.485,0.532,NA,NA,17.6,6.7,NA,NA,NA,0.9,2.5,3.5,0.075,NA,NA,NA,NA,NA
1972-73,25,CLE,NBA,C,62,2127,13.3,0.467,0.409,NA,NA,15.8,8.7,NA,NA,NA,0.4,3.2,3.6,0.08,NA,NA,NA,NA,NA
1973-74,26,POR,NBA,C,69,2060,16.1,0.498,0.396,12.2,22.7,17.4,8.8,1.4,1.4,NA,1.9,1.4,3.2,0.075,NA,-0.2,-1.7,-1.9,0.1
1974-75,27,NOJ,NBA,C,16,339,13.1,0.474,0.37,11.2,24.1,17.4,9.8,0.9,1.3,NA,0,0.4,0.4,0.053,NA,-1.9,-0.6,-2.6,-0.1
1975-76,28,KCK,NBA,C,74,709,10.3,0.417,0.572,10.5,23.2,16.8,10.1,1.2,1.3,NA,-0.7,0.8,0,0.002,NA,-4.1,-0.3,-4.4,-0.4
Career,NA,,NBA,,423,10356,13.2,0.476,0.436,11.7,23,16.7,7.7,1.3,1.3,NA,2.6,12,14.6,0.068,NA,-1.3,-1.3,-2.5,-0.4
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,LAL,NBA,,139,2914,11.4,0.471,0.4,NA,NA,15,6,NA,NA,NA,0.2,3.8,4,0.065,NA,NA,NA,NA,NA
2 seasons,NA,CLE,NBA,,125,4334,13.4,0.476,0.47,NA,NA,16.7,7.7,NA,NA,NA,1.3,5.7,7,0.078,NA,NA,NA,NA,NA
1 season,NA,KCK,NBA,,74,709,10.3,0.417,0.572,10.5,23.2,16.8,10.1,1.2,1.3,NA,-0.7,0.8,0,0.002,NA,-4.1,-0.3,-4.4,-0.4
1 season,NA,POR,NBA,,69,2060,16.1,0.498,0.396,12.2,22.7,17.4,8.8,1.4,1.4,NA,1.9,1.4,3.2,0.075,NA,-0.2,-1.7,-1.9,0.1
1 season,NA,NOJ,NBA,,16,339,13.1,0.474,0.37,11.2,24.1,17.4,9.8,0.9,1.3,NA,0,0.4,0.4,0.053,NA,-1.9,-0.6,-2.6,-0.1
