Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1964-65,22,LAL,NBA,SG,66,NA,919,117,306,0.382,46,71,0.648,NA,NA,111,140,NA,NA,132,280
1965-66,23,LAL,NBA,SG,80,NA,2198,458,1003,0.457,182,257,0.708,NA,NA,219,393,NA,NA,224,1098
1966-67,24,LAL,NBA,PG,79,NA,1642,301,706,0.426,129,177,0.729,NA,NA,231,323,NA,NA,203,731
1967-68,25,SEA,NBA,PG,79,NA,2666,733,1662,0.441,428,553,0.774,NA,NA,332,493,NA,NA,246,1894
1968-69,26,ATL,NBA,PG,80,NA,2420,345,869,0.397,208,294,0.707,NA,NA,266,474,NA,NA,264,898
1969-70,27,ATL,NBA,PG,82,NA,2757,493,1056,0.467,267,330,0.809,NA,NA,329,561,NA,NA,264,1253
1970-71,28,ATL,NBA,PG,82,NA,2877,517,1126,0.459,315,415,0.759,NA,NA,300,514,NA,NA,276,1349
1971-72,29,BUF,NBA,PG,72,NA,2389,450,998,0.451,237,303,0.782,NA,NA,213,406,NA,NA,230,1137
1972-73,30,TOT,NBA,PG,55,NA,763,107,256,0.418,47,57,0.825,NA,NA,88,129,NA,NA,110,261
1972-73,30,BUF,NBA,PG,9,NA,134,25,60,0.417,3,6,0.5,NA,NA,10,17,NA,NA,19,53
1972-73,30,GSW,NBA,PG,46,NA,629,82,196,0.418,44,51,0.863,NA,NA,78,112,NA,NA,91,208
1973-74,31,SEA,NBA,PG,49,NA,571,76,180,0.422,34,45,0.756,18,39,57,122,26,6,78,186
Career,NA,,NBA,,724,NA,19202,3597,8162,0.441,1893,2502,0.757,18,39,2146,3555,26,6,2027,9087
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,ATL,NBA,,244,NA,8054,1355,3051,0.444,790,1039,0.76,NA,NA,895,1549,NA,NA,804,3500
3 seasons,NA,LAL,NBA,,225,NA,4759,876,2015,0.435,357,505,0.707,NA,NA,561,856,NA,NA,559,2109
2 seasons,NA,SEA,NBA,,128,NA,3237,809,1842,0.439,462,598,0.773,18,39,389,615,26,6,324,2080
2 seasons,NA,BUF,NBA,,81,NA,2523,475,1058,0.449,240,309,0.777,NA,NA,223,423,NA,NA,249,1190
1 season,NA,GSW,NBA,,46,NA,629,82,196,0.418,44,51,0.863,NA,NA,78,112,NA,NA,91,208
