Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,PF,PTS
1967-68,25,SEA,NBA,PG,1,0,20:00,4,12,0.333,1,1,1,NA,3,3,NA,NA,3,9
Career,NA,,NBA,,1,0,20,4,12,0.333,1,1,1,NA,3,3,NA,NA,3,9
