Thru 10 Years,Thru 10 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Walt Hazzard,,5.4,5.3,5,4.5,3.3,2.5,2.2,1.1,0.6,0.2
Adrian Smith,92.4,6.1,5.2,5.1,4.4,3.4,2.6,1.9,1.8,0.8,0.5
Ricky Davis,90.2,5.7,5,4.4,4.2,3,2.8,1.9,1.1,0.2,0.2
Tyreke Evans,89.8,5.4,4.6,4.4,4.2,3.1,2.7,1.6,1.4,0.7,0.3
Quentin Richardson,89.7,5.8,5.8,5.6,3.5,3,2.4,2.1,1,0.7,0.3
Austin Carr,89.5,5.9,5.4,5.3,5,3.4,2.9,2.6,2,1,-0.4
Patty Mills,89.1,5.6,5.1,4.8,4.1,3.5,1.5,1.4,0.9,0.7,0
Larry Steele,89.0,5.7,5.2,4.8,3.6,3,2,1.9,1.6,0.5,NA
Bob Weiss,88.7,5.6,4.7,4.4,4.3,3.6,2.9,1.7,1.1,0.1,0
Mario Chalmers,88.6,5.2,5.2,4.8,4.3,3.8,2.9,2.8,2.7,0.6,NA
Bob Sura,88.6,5.2,4.9,4.8,4.6,4.1,1.8,1.6,0.7,0.4,0.1
