,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1964-65,22,LAL,NBA,,9,,4,6,,,,,,,,21
1965-66,23,LAL,NBA,,15,,10,14,,,,,,,,32
1966-67,24,LAL,NBA,,14,,7,13,,,,,,,,33
1967-68,25,SEA,NBA,,17,,15,17,,,11,17,,,,45
1968-69,26,ATL,NBA,,13,,9,11,,,,,,,,30
1969-70,27,ATL,NBA,,18,,9,11,,,,,,,,40
1970-71,28,ATL,NBA,,14,,11,16,,,,,,,,32
1971-72,29,BUF,NBA,,17,,12,15,,,,,,,,38
1972-73,30,TOT,NBA,,8,,8,8,,,,,,,,22
1972-73,30,BUF,NBA,,8,,2,3,,,,,,,,18
1972-73,30,GSW,NBA,,8,,8,8,,,,,,,,22
1973-74,31,SEA,NBA,,9,,6,7,,,,,,,,24
Career,,,,,18,,15,17,,,,,,,,45
3 Seasons,,ATL,NBA,,18,,11,16,,,,,,,,40
3 Seasons,,LAL,NBA,,15,,10,14,,,,,,,,33
2 Seasons,,SEA,NBA,,17,,15,17,,,,,,,,45
2 Seasons,,BUF,NBA,,17,,12,15,,,,,,,,38
1 Season,,GSW,NBA,,8,,8,8,,,,,,,,22
