,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1964-65,22,LAL,NBA,,5,12,7,9,,,6,10,,,5,15
1965-66,23,LAL,NBA,,10,15,6,7,,,8,8,,,4,22
1966-67,24,LAL,NBA,,6,11,3,4,,,4,8,,,5,14
1968-69,26,ATL,NBA,,13,22,12,14,,,5,6,,,5,34
1969-70,27,ATL,NBA,,15,30,6,9,,,4,13,,,4,32
1970-71,28,ATL,NBA,,8,20,10,13,,,7,9,,,6,20
1972-73,30,TOT,NBA,,9,16,6,6,,,5,7,,,4,20
1972-73,30,GSW,NBA,,9,16,6,6,,,5,7,,,4,20
Career,,,,,15,30,12,14,,,8,13,,,6,34
3 Seasons,,LAL,NBA,,10,15,7,9,,,8,10,,,5,22
3 Seasons,,ATL,NBA,,15,30,12,14,,,7,13,,,6,34
1 Season,,GSW,NBA,,9,16,6,6,,,5,7,,,4,20
