,,,,,,,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
2001-02,25,LAC,NBA,SF,22,343,,,99%,1%,,-7.3,-7.3,4,5,18,3,13,0,39,1,8
2002-03,26,LAC,NBA,SF,37,573,,1%,88%,12%,,+8.4,+15.1,10,3,22,3,25,0,52,1,15
2003-04,27,DET,NBA,SF,36,261,,14%,77%,9%,,-5.0,-12.3,6,2,7,3,7,0,29,0,8
2004-05,28,IND,NBA,SF,8,56,,12%,80%,8%,,-6.3,-7.3,3,2,2,0,1,0,0,0,1
Career,,,NBA,,103,1233,,4%,88%,8%,,+0.5,+2.0,23,12,49,9,46,0,120,2,32
,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,LAC,NBA,,59,916,,,92%,8%,,+2.5,+6.7,14,8,40,6,38,0,91,2,23
1 season,,DET,NBA,,36,261,,14%,77%,9%,,-5.0,-12.3,6,2,7,3,7,0,29,0,8
1 season,,IND,NBA,,8,56,,12%,80%,8%,,-6.3,-7.3,3,2,2,0,1,0,0,0,1
