,,,,,,,,,,,,,,,,,,,,,2-Pt Field Goals,2-Pt Field Goals,2-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals
,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,Dunks,Dunks,,Corner,Corner,Heaves,Heaves
Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3pt,3P,2P,0-3,3-10,10-16,16-3pt,3P,%Ast'd,%FGA,Md.,%Ast'd,%3PA,3P%,Att.,Md.
2001-02,25,LAC,NBA,SF,22,343,.391,8.0,1.000,.438,.109,.234,.219,.000,.391,.571,.286,.133,.357,,.400,.047,3,,,,0,0
2002-03,26,LAC,NBA,SF,37,573,.438,10.8,.930,.383,.063,.133,.352,.070,.454,.571,.125,.412,.400,.222,.778,.141,15,1.000,.444,.250,1,0
2003-04,27,DET,NBA,SF,36,261,.313,11.9,.833,.375,.063,.083,.313,.167,.350,.444,.000,.500,.267,.125,.571,.083,3,1.000,.250,.500,0,0
2004-05,28,IND,NBA,SF,8,56,.529,15.0,.824,.118,.118,.176,.412,.176,.571,1.000,.500,.333,.571,.333,.500,.000,0,1.000,.667,.500,0,0
Career,,,NBA,,103,1233,.409,10.6,.922,.377,.078,.152,.315,.078,.426,.557,.200,.308,.383,.200,.634,.097,21,1.000,.400,.375,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,LAC,NBA,,59,916,.422,9.9,.953,.401,.078,.167,.307,.047,.432,.571,.200,.281,.390,.222,.658,.109,18,1.000,.444,.250,1,0
1 season,,DET,NBA,,36,261,.313,11.9,.833,.375,.063,.083,.313,.167,.350,.444,.000,.500,.267,.125,.571,.083,3,1.000,.250,.500,0,0
1 season,,IND,NBA,,8,56,.529,15.0,.824,.118,.118,.176,.412,.176,.571,1.000,.500,.333,.571,.333,.500,.000,0,1.000,.667,.500,0,0
