Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Tremaine Fowlkes,,1.2,0.5,0.4,0,NA,NA,NA,NA
Joe Holland,85.8,1.2,0.6,0.2,NA,NA,NA,NA,NA
Patrick McFarland,84.8,1.3,0.7,0.4,NA,NA,NA,NA,NA
Viktor Khryapa,83.7,1.3,0.4,0.3,0,NA,NA,NA,NA
Cal Bowdler,81.0,1,0.5,0.2,NA,NA,NA,NA,NA
Ronald Dupree,80.0,1,0.5,0.3,0.1,0,0,NA,NA
Calvin Garrett,77.0,1.4,0.6,0.6,0,NA,NA,NA,NA
Shavlik Randolph,76.6,1.1,0.7,0.4,0.1,0,0,0,0
Jerome Lane,75.9,1.2,0.6,0.5,0.1,-0.2,NA,NA,NA
Winston Bennett,75.8,1.1,0.3,0.2,NA,NA,NA,NA,NA
James Michael McAdoo,75.2,1.1,0.8,0.5,0,NA,NA,NA,NA
