Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Calvin Booth,,2.2,2.1,1,0.8,0.6,0.5,0.4,0.3,0.1,0.1,NA,NA
John Lambert,75.9,1.8,1.5,1,0.9,0.7,0.6,0.4,NA,NA,NA,NA,NA
Greg Kite,68.9,2,1.4,0.8,0.7,0.6,0.3,0.1,0.1,0.1,0,-0.1,-0.3
Cole Aldrich,67.7,3.5,2.2,1.3,1.2,0.6,0.6,0.2,0,NA,NA,NA,NA
Eric Leckner,67.7,1.7,1.5,0.9,0.9,0.9,0.2,0.2,-0.1,NA,NA,NA,NA
Alexis Ajinça,67.5,3.2,2.1,1,1,0.4,0,-0.1,NA,NA,NA,NA,NA
Jeff Wilkins,67.0,2.4,2.3,2.3,1,0.5,0.3,NA,NA,NA,NA,NA,NA
Jake Tsakalidis,66.5,2.8,2.8,1.3,1.2,0.9,0.6,0.3,NA,NA,NA,NA,NA
Bob Christian,65.7,2.4,1.9,0.9,0.5,0,NA,NA,NA,NA,NA,NA,NA
Predrag Drobnjak,65.6,2.4,1.6,1,0.7,NA,NA,NA,NA,NA,NA,NA,NA
Luther Rackley,65.6,1.9,1.8,1.3,0.8,0.1,NA,NA,NA,NA,NA,NA,NA
