Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Mike Scott,,3.2,2.7,2.6,2.5,1.6,0.9,-0.1,NA
E.C. Coleman,93.4,3.2,2.7,2.6,2.5,1.7,0.1,NA,NA
Don Ford,88.8,3.5,2.8,2.5,2,1.5,0.6,-0.1,NA
Derrick Williams,88.7,3.6,3,2.6,2.1,1.8,1.1,0,NA
Edgar Jones,86.7,3.4,3.4,2.6,2.4,2.3,0.9,NA,NA
Scott Padgett,85.7,3.5,2.8,2.5,1.9,1.8,0.4,0.1,0.1
Lew Hitch,85.3,3.3,2.7,2.2,2.2,1.2,NA,NA,NA
Mike Muscala,85.2,3.4,2.5,2.4,1.9,1.6,0.2,NA,NA
Don Reid,84.9,2.9,2.8,2.7,2.3,1.1,1,0.9,-0.1
Lavoy Allen,84.1,3.7,2.8,2.5,1.7,1.6,1.5,NA,NA
Nick Weatherspoon,83.1,3.7,3.6,2.6,2.4,2.1,0.6,0.1,NA
