Thru 7 Years,Thru 7 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Mike Scott,,3.2,2.7,2.6,2.5,1.6,0.9,-0.1
E.C. Coleman,93.4,3.2,2.7,2.6,2.5,1.7,0.1,NA
Anthony Tolliver,91.0,3.3,3.2,2.7,2.5,1.2,0.9,0
Sidney Green,89.0,3.4,2.7,2.5,2,1.7,0.6,0.3
Andrew DeClercq,88.9,3.4,3.1,2.9,2.5,1.6,1,0.4
Don Ford,88.8,3.5,2.8,2.5,2,1.5,0.6,-0.1
Derrick Williams,88.7,3.6,3,2.6,2.1,1.8,1.1,0
Brad Lohaus,87.8,3.3,2.7,2.7,1.8,0.9,0.9,0.1
Scott Williams,87.0,3.9,3.1,2.6,2.3,1.7,0.9,0.3
Edgar Jones,86.7,3.4,3.4,2.6,2.4,2.3,0.9,NA
Scott Padgett,86.1,3.5,2.8,2.5,1.9,1.8,0.4,0.1
