Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Mo Layton,,1.9,1.1,1,0.3,0.1
Justin Anderson,91.7,1.9,1.2,1.1,0.4,NA
Dirk Minniefield,89.8,1.9,1.1,1.1,NA,NA
Steven Kramer,86.9,1.9,1.2,1.1,NA,NA
Donnie Butcher,85.2,1.9,1.2,1.1,0.5,-0.3
Raul Neto,84.1,1.8,1.1,0.9,0.7,NA
Lloyd Walton,83.9,1.9,1.1,1.1,1.1,0.1
Corky Devlin,82.5,1.8,1.2,0.8,NA,NA
A.J. Price,82.4,2.2,1.2,0.7,0.3,0
Ian Clark,81.0,2.3,1.1,0.9,0.2,-0.1
Mike Davis,80.8,2.2,1.2,0.9,0.6,NA
