,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
1971-72,23,PHO,NBA,,14,19,,,,,9,11,,,5,,,,,,37,
1972-73,24,PHO,NBA,,9,19,,,,,6,7,,,5,6,,,,6,19,
1973-74,25,POR,NBA,,8,13,,,,,3,5,2,4,4,5,3,1,,5,19,
1973-74,25,MMT,ABA,,6,,0,,,,2,2,,,,,,,,,13,
1976-77,28,NYK,NBA,,11,,,,,,9,10,,,,,,,,,24,
1977-78,29,SAS,NBA,,7,,,,,,4,4,,,,,,,,,14,
Career,,,TOT,,14,,,,,,9,11,,,,,,,,,37,
,,,NBA,,14,,,,,,9,11,,,,,,,,,37,
,,,ABA,,6,,0,,,,2,2,,,,,,,,,13,
,,,,,,,,,,,,,,,,,,,,,,
2 Seasons,,PHO,NBA,,14,19,,,,,9,11,,,5,,,,,,37,
1 Season,,NYK,NBA,,11,,,,,,9,10,,,,,,,,,24,
1 Season,,SAS,NBA,,7,,,,,,4,4,,,,,,,,,14,
1 Season,,POR,NBA,,8,13,,,,,3,5,2,4,4,5,3,1,,5,19,
1 Season,,MMT,ABA,,6,,0,,,,2,2,,,,,,,,,13,
