,,,,,,,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
2015-16,21,MEM,NBA,PF,27,380,,,1%,31%,68%,-5.0,-2.9,1,12,27,6,28,2,35,6,15
2016-17,22,MEM,NBA,PF,42,558,,,,47%,53%,-4.5,-6.1,12,10,49,5,21,2,19,2,22
2017-18,23,MEM,NBA,PF,73,1661,,,1%,83%,16%,-7.4,-1.6,39,26,113,14,51,3,173,6,39
2018-19,24,ORL,NBA,PF,42,328,,,,83%,18%,+5.4,+4.8,4,2,32,4,7,2,43,3,6
Career,,,NBA,,184,2927,,,1%,69%,30%,-5.1,-1.9,56,50,221,29,107,9,270,17,82
,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,MEM,NBA,,142,2599,,,1%,68%,32%,-6.5,-2.7,52,48,189,25,100,7,227,14,76
1 season,,ORL,NBA,,42,328,,,,83%,18%,+5.4,+4.8,4,2,32,4,7,2,43,3,6
