,,,,,,,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
2015-16,21,MEM,NBA,PF,2,46,,,,4%,96%,-28.3,-5.0,1,2,0,0,2,0,3,0,1
2016-17,22,MEM,NBA,PF,3,10,,,,100%,,-5.3,+4.5,0,0,0,0,0,0,0,0,0
2018-19,24,ORL,NBA,PF,3,18,,,,97%,3%,+33.3,+52.7,0,0,1,0,1,0,2,0,0
Career,,,NBA,,8,74,,,,40%,60%,-10.2,+10.3,1,2,1,0,3,0,5,0,1
,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,MEM,NBA,,5,56,,,,21%,79%,-24.2,-3.3,1,2,0,0,2,0,3,0,1
1 season,,ORL,NBA,,3,18,,,,97%,3%,+33.3,+52.7,0,0,1,0,1,0,2,0,0
