Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Jarell Martin,,1.3,0.8,0.6,0.5
Chris Crawford,92.9,1.3,0.9,0.6,0.6
Yi Jianlian,91.4,1.3,0.7,0.7,0.4
Malik Allen,88.5,1.1,0.9,0.7,0.5
Steve Green,84.1,1.2,1.1,0.7,0.4
Bill Hosket,83.9,1,1,0.6,0.5
Ray Tolbert,83.0,1.1,0.8,0.7,0.3
Julian Wright,82.3,1.7,0.8,0.8,0.6
Byron Houston,81.3,1.8,0.9,0.7,0.5
Josh Powell,80.8,1.1,0.7,0.6,0.3
D.J. White,80.8,1.8,0.8,0.6,0.4
