Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Jarell Martin,,1.3,0.8,0.6,0.5,NA,NA,NA,NA
Yi Jianlian,91.1,1.3,0.7,0.7,0.4,0,NA,NA,NA
Steve Green,84.1,1.2,1.1,0.7,0.4,NA,NA,NA,NA
Bill Hosket,83.9,1,1,0.6,0.5,NA,NA,NA,NA
Julian Wright,82.3,1.7,0.8,0.8,0.6,NA,NA,NA,NA
Ray Tolbert,82.1,1.1,0.8,0.7,0.3,0,NA,NA,NA
Byron Houston,81.3,1.8,0.9,0.7,0.5,NA,NA,NA,NA
John Thomas,77.2,1.5,0.9,0.4,0.4,0,NA,NA,NA
Chris Johnson,77.1,1.4,1.1,0.8,0.2,NA,NA,NA,NA
Anthony Miller,76.3,1.2,1.2,0.8,0.6,0,0,0,-0.1
Ben McDonald,76.2,1.3,0.7,0.3,0.2,NA,NA,NA,NA
