,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1968-69,23,PHI,NBA,,1,2,,,,,0,0,,,0,0,,,,0,2
1969-70,24,CHI,NBA,,11,26,,,,,2,2,,,6,6,,,,5,22
1971-72,26,DLC,ABA,,6,,0,,,,3,5,,,,,,,,,13
Career,,,TOT,,11,,,,,,3,5,,,,,,,,,22
,,,NBA,,11,26,,,,,2,2,,,6,6,,,,5,22
,,,ABA,,6,,0,,,,3,5,,,,,,,,,13
,,,,,,,,,,,,,,,,,,,,,
1 Season,,CHI,NBA,,11,26,,,,,2,2,,,6,6,,,,5,22
1 Season,,DLC,ABA,,6,,0,,,,3,5,,,,,,,,,13
1 Season,,PHI,NBA,,1,2,,,,,0,0,,,0,0,,,,0,2
