Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Shaler Halimon,,0.8,0.3,0,-0.3,-0.3
Rick Carlisle,40.5,0.9,0.2,-0.1,-0.2,-0.3
Andre McCarter,32.3,0.8,0.3,0,NA,NA
Jim Farmer,25.1,0.7,0.4,0.1,-0.1,-0.4
Greg Sutton,25.0,0.8,0.2,-0.1,NA,NA
Willie Smith,24.5,1,0.3,0,0,NA
Sam Jacobson,22.2,0.9,0.2,0,NA,NA
Ish Smith,21.0,1,0.3,-0.1,-0.1,-0.4
Tate George,16.3,1.1,0.4,0,-0.1,NA
Eddie Hughes,15.6,1,0.4,0,NA,NA
Gerry Ward,15.5,1,0.4,-0.1,-0.2,NA
