Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48
1968-69,23,PHI,NBA,SF,50,350,13.2,0.443,NA,0.163,NA,NA,NA,7.4,NA,NA,NA,NA,NA,-0.1,0.4,0.3,0.034
1969-70,24,CHI,NBA,SG,38,517,11.4,0.436,NA,0.299,NA,NA,NA,18.5,NA,NA,NA,NA,NA,-0.5,0.5,0,-0.001
1970-71,25,TOT,NBA,SF-SG,81,1652,12,0.415,NA,0.207,NA,NA,11,17.1,NA,NA,NA,NA,NA,-2,1.7,-0.3,-0.009
1970-71,25,CHI,NBA,SG,2,23,-4.2,0.118,NA,0.125,NA,NA,4.1,20.9,NA,NA,NA,NA,NA,-0.2,0,-0.1,-0.285
1970-71,25,POR,NBA,SF,79,1629,12.2,0.418,NA,0.208,NA,NA,11.1,17.1,NA,NA,NA,NA,NA,-1.9,1.7,-0.2,-0.005
1971-72,26,TOT,TOT,SF,56,774,13.2,0.464,0.007,0.293,7.5,13,10.2,14,NA,NA,12.2,20.4,NA,-0.3,1.1,0.8,0.052
1971-72,26,ATL,NBA,SF,1,4,-4.5,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,0,0.007
1971-72,26,DLC,ABA,SF,55,770,13.3,0.464,0.007,0.293,7.5,13,10.2,14.1,NA,NA,12.2,20.4,NA,-0.3,1.1,0.8,0.052
1972-73,27,DLC,ABA,SF,29,355,6.8,0.43,0.047,0.248,4.4,11.2,7.7,19.9,NA,NA,20.6,22.9,NA,-0.5,0.2,-0.3,-0.038
Career,NA,,TOT,,254,3648,11.8,0.432,0.005,0.234,6.5,12.4,10.3,16,NA,NA,15.2,21.2,NA,-3.4,3.9,0.5,0.006
,NA,,NBA,,170,2523,12,0.424,NA,0.218,NA,NA,10.9,16,NA,NA,NA,NA,NA,-2.6,2.6,-0.1,-0.001
,NA,,ABA,,84,1125,11.3,0.453,0.02,0.278,6.5,12.4,9.4,15.9,NA,NA,15.2,21.2,NA,-0.8,1.3,0.6,0.024
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,DLC,ABA,,84,1125,11.3,0.453,0.02,0.278,6.5,12.4,9.4,15.9,NA,NA,15.2,21.2,NA,-0.8,1.3,0.6,0.024
1 season,NA,POR,NBA,,79,1629,12.2,0.418,NA,0.208,NA,NA,11.1,17.1,NA,NA,NA,NA,NA,-1.9,1.7,-0.2,-0.005
1 season,NA,PHI,NBA,,50,350,13.2,0.443,NA,0.163,NA,NA,NA,7.4,NA,NA,NA,NA,NA,-0.1,0.4,0.3,0.034
2 seasons,NA,CHI,NBA,,40,540,10.7,0.427,NA,0.294,NA,NA,4.1,18.6,NA,NA,NA,NA,NA,-0.7,0.5,-0.1,-0.013
1 season,NA,ATL,NBA,,1,4,-4.5,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,0,0.007
