,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1968-69,23,PHI,NBA,,11,,,,,,1,5,,,,,,,,,23
1969-70,24,CHI,NBA,,9,17,,,,,6,8,,,8,6,,,,5,21
1970-71,25,TOT,NBA,,11,21,,,,,8,12,,,13,9,,,,6,28
1970-71,25,CHI,NBA,,1,7,,,,,0,1,,,2,3,,,,5,2
1970-71,25,POR,NBA,,11,21,,,,,8,12,,,13,9,,,,6,28
1971-72,26,ATL,NBA,,0,0,,,,,0,0,,,0,0,,,,,0
1971-72,26,DLC,ABA,,8,,0,,,,5,7,,,,,,,,,20
1972-73,27,DLC,ABA,,10,,1,,,,6,8,,,,,,,,,21
Career,,,TOT,,11,,,,,,8,12,,,,,,,,,28
,,,NBA,,11,,,,,,8,12,,,,,,,,,28
,,,ABA,,10,,1,,,,6,8,,,,,,,,,21
,,,,,,,,,,,,,,,,,,,,,
2 Seasons,,DLC,ABA,,10,,1,,,,6,8,,,,,,,,,21
1 Season,,POR,NBA,,11,21,,,,,8,12,,,13,9,,,,6,28
1 Season,,PHI,NBA,,11,,,,,,1,5,,,,,,,,,23
2 Seasons,,CHI,NBA,,9,17,,,,,6,8,,,8,6,,,,5,21
1 Season,,ATL,NBA,,0,0,,,,,0,0,,,0,0,,,,,0
