Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48
1968-69,23,PHI,NBA,SF,1,2,21.7,0.5,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0,0,0.137
1969-70,24,CHI,NBA,SG,5,106,9.7,0.353,NA,0.049,NA,NA,NA,23.1,NA,NA,NA,NA,NA,-0.4,0.1,-0.3,-0.116
1971-72,26,DLC,ABA,SF,4,55,16.7,0.548,0,0.412,NA,NA,12.2,18.9,NA,NA,19.9,19.3,NA,0.1,0.1,0.2,0.158
Career,NA,,TOT,,10,163,12.2,0.403,0,0.125,NA,NA,12.2,21.4,NA,NA,19.9,19.3,NA,-0.3,0.2,-0.1,-0.02
,NA,,NBA,,6,108,9.9,0.358,NA,0.048,NA,NA,NA,22.7,NA,NA,NA,NA,NA,-0.3,0.1,-0.3,-0.111
,NA,,ABA,,4,55,16.7,0.548,0,0.412,NA,NA,12.2,18.9,NA,NA,19.9,19.3,NA,0.1,0.1,0.2,0.158
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1 season,NA,CHI,NBA,,5,106,9.7,0.353,NA,0.049,NA,NA,NA,23.1,NA,NA,NA,NA,NA,-0.4,0.1,-0.3,-0.116
1 season,NA,DLC,ABA,,4,55,16.7,0.548,0,0.412,NA,NA,12.2,18.9,NA,NA,19.9,19.3,NA,0.1,0.1,0.2,0.158
1 season,NA,PHI,NBA,,1,2,21.7,0.5,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0,0,0.137
