Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Sam Pellom,,2.2,1.8,0.7,0
Donnell Harvey,92.7,2,1.8,0.7,0.1
Tony Massenburg,92.7,2.2,1.7,0.4,-0.1
Joe Holup,91.6,2.1,1.8,0.3,NA
Alaa Abdelnaby,90.0,2.1,2,0.5,-0.1
Bob Brannum,89.4,2,1.6,0.8,0
Dorie Murrey,89.3,2.2,1.9,0.5,0.2
Johnny Baum,89.1,2,1.9,0.4,-0.1
Bill Hewitt,88.2,2.4,1.7,0.6,-0.2
Solomon Jones,87.2,1.9,1.6,0.8,0
Dorell Wright,85.0,2.2,1.9,0.2,-0.1
